B	START compounds=141 ae_iters=12000 ot_iters_per_compound=8000
B	[1/141] 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine n=269 mmd=0.03209
B	[2/141] ABT-199 (GDC-0199) n=345 mmd=0.02753
B	[3/141] ABT737 n=294 mmd=0.02779
B	[4/141] AMD-070 (hydrochloride) n=355 mmd=0.02760
NK	START compounds=141 ae_iters=12000 ot_iters_per_compound=8000
B	[5/141] AT 7867 n=360 mmd=0.02837
NK	[1/141] 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine n=269 mmd=0.02999
B	[6/141] AT13387 n=210 mmd=0.03057
NK	[2/141] ABT-199 (GDC-0199) n=270 mmd=0.02860
B	[7/141] AVL-292 n=341 mmd=0.02805
Mono	START compounds=140 ae_iters=12000 ot_iters_per_compound=2000
T cells	START compounds=141 ae_iters=12000 ot_iters_per_compound=8000
Mono	[1/140] 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine n=360 mmd=0.02979
Mono	[2/140] ABT-199 (GDC-0199) n=255 mmd=0.03022
Mono	[3/140] ABT737 n=192 mmd=0.02974
Mono	[4/140] AMD-070 (hydrochloride) n=355 mmd=0.02944
Mono	[5/140] AT 7867 n=360 mmd=0.02981
Mono	[6/140] AT13387 n=312 mmd=0.02978
Mono	[7/140] AVL-292 n=355 mmd=0.03131
Mono	[8/140] AZ628 n=343 mmd=0.03048
Mono	[9/140] AZD-8330 n=357 mmd=0.03009
Mono	[10/140] AZD3514 n=331 mmd=0.02972
Mono	[11/140] AZD4547 n=319 mmd=0.02967
Mono	[12/140] Alogliptin n=357 mmd=0.02962
Mono	[13/140] Alvocidib n=50 mmd=0.04477
Mono	[14/140] Amiodarone n=345 mmd=0.03102
Mono	[15/140] Atorvastatin n=344 mmd=0.03132
Mono	[16/140] Azacitidine n=348 mmd=0.03295
Mono	[17/140] BAY 61-3606 n=323 mmd=0.03022
Mono	[18/140] BAY 87-2243 n=344 mmd=0.02983
Mono	[19/140] BI-D1870 n=318 mmd=0.03103
Mono	[20/140] BMS-265246 n=360 mmd=0.03065
Mono	[21/140] BMS-387032 n=199 mmd=0.03012
Mono	[22/140] BMS-536924 n=351 mmd=0.03125
Mono	[23/140] BMS-777607 n=344 mmd=0.03079
Mono	[24/140] BX 912 n=333 mmd=0.02863
Mono	[25/140] Bosutinib n=345 mmd=0.03200
Mono	[26/140] Buspirone n=360 mmd=0.03025
Mono	[27/140] CC-401 n=346 mmd=0.02985
Mono	[28/140] CEP-37440 n=360 mmd=0.02952
Mono	[29/140] CGM-097 n=322 mmd=0.03035
Mono	[30/140] CHIR-99021 n=357 mmd=0.03035
Mono	[31/140] Cabozantinib n=352 mmd=0.02949
Mono	[32/140] Canertinib n=360 mmd=0.03002
Mono	[33/140] Ceritinib n=347 mmd=0.02909
