bundle_path,sha256,reason
predictions/C1/C1_LOCT__CPA__C1_loct_B.npz,e8214df3be0d9d4cfa99e4e4c669b2a30db483993eeae158600a069aece8c6f2,"historical CPAC1: training-population latent mean shift, not CPA's learned perturbation embedding"
predictions/C1/C1_LOCT__CPA__C1_loct_CD4T.npz,22ec5046b45aa29188dee0afc5405e6ba99f514d246c6b3697a334f8a1304386,"historical CPAC1: training-population latent mean shift, not CPA's learned perturbation embedding"
predictions/C1/C1_LOCT__CPA__C1_loct_CD8T.npz,bda02c1fa2dfa0628619762f75ef998e337186d49e9a75b115ac4e3ed0aecd45,"historical CPAC1: training-population latent mean shift, not CPA's learned perturbation embedding"
predictions/C1/C1_LOCT__CPA__C1_loct_DC.npz,ef208e3426311e8960004d58eff816bb31f3778f65b1465d07c757d7acdd64af,"historical CPAC1: training-population latent mean shift, not CPA's learned perturbation embedding"
predictions/C1/C1_LOCT__CPA__C1_loct_Mk.npz,88e1607ae2fd7d7c84e93ce1d7dc2d02c243eb98049f43ec6d295ac2db87f0d5,"historical CPAC1: training-population latent mean shift, not CPA's learned perturbation embedding"
predictions/C1/C1_LOCT__CPA__C1_loct_Mono_CD14.npz,f031464c87f19ffb48318dba63b9f6252b03f1a07bfbf38c106b44721e3604c6,"historical CPAC1: training-population latent mean shift, not CPA's learned perturbation embedding"
predictions/C1/C1_LOCT__CPA__C1_loct_Mono_FCGR3A.npz,6127ae647911caed956a56d1f0e90be43007a33cb0185ca2f2d3889f3504096e,"historical CPAC1: training-population latent mean shift, not CPA's learned perturbation embedding"
predictions/C1/C1_LOCT__CPA__C1_loct_NK.npz,f2385fe5ea2a0cf83c5cdd0dca2b2a502d1ce432ee943dd99e0ed09834b90172,"historical CPAC1: training-population latent mean shift, not CPA's learned perturbation embedding"
predictions/C2/C2__CPA__C2_soskic_LODO_D348.npz,28e83ead8b81797faf4073d2c395979a1d7ac8a8ac975dffc35fe7df867b1fcd,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D349.npz,330365e50df7a6e5e134c39fb9ad3ed54ecaf46ab454a6ce070ce35995a9f49f,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D350.npz,83e8205f5165637382086364b66fe93dd43ba842e657d69a10918628a9131d41,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D351.npz,9ead5edaf45556c6075bd67f6b7709f26af8bf68a40762e85d2e25f920785362,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D352.npz,2b6c5a1adee8073d1669ef9b58b435e121b87f1715b973a6d4315f9e7d036f9b,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D353.npz,25b306c7e67f17bacd63a4399dbe0512148d5b2893d6030e9924559b2fcb6b61,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D354.npz,c534690ef1c9f8e1de4bb7dde5c517d8ef59808a3d81ae94e8252ed0a8eaf1c9,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D355.npz,824df42d9e45f02045de270bccd369f35d08b32d7b9498967119d637a9665e33,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D356.npz,8a91177334c07bcce256cf65620b21898a26aff34abef6ff203205e4229c28b8,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D357.npz,0e08ab9d6939da16a6862c181e27d94b0d3eccf7980931ffd18d635564dfd9e0,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D358.npz,c55afd4c54a750747753a5eb1d1088b29413445110597fddc8181ae7cd59e8a0,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D359.npz,8771d092d714714e492993c9af987326af1335086c75699d143214eb4d2ad7b8,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D363.npz,3478ec7e0edc16451e5eba941ed9efdeb98ca8858f8d47aa7409542011ef61b1,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D364.npz,e8f43762b75710940a5845ca4391675a4a42258a6eeb5e4e6f0613d64d6dbf5a,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D365.npz,f80d558819e5a6fdc26ccf0e16eeeea671b6307276353ddb4b5708ef01ed7654,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D366.npz,469ed7d78c45c3daa8968240d1fdf6824e9da6ac5d7fc286ead0c7d010e99f2e,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D367.npz,bd8c19c34fdf1d6eed5d7de1cead01caeef37469ef5275bf358d9fc449362626,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D368.npz,68775633402a121487c635d7128961e46c0ffda3ebb0212c92b3ca909338f73b,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D369.npz,1756faf2002fcd5c1e3f364968f65281d386f561a1acc1e1898488441add7d53,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D370.npz,f3e4699bbf4b7b82dfcd4a8fbb40be0af163c4f2e0cf89d29642115e5aa1b3f2,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D371.npz,f3b53ae43994390d4f28ccef68a5ff986990d690469f51b529fc85e47ca0d6e3,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D372.npz,f0a7afea97199d5bbaa2fad7f45c9c558264673fb621e6ab68532e6691375566,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D373.npz,44c036b71034b2cd8277bf3943962218d0876f36aab6f2a72cd9efbfc7a9269d,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D374.npz,5d8261b127ef5c54c70050cf660b7447894f90e74d4cd2f7d8386fcffe786f33,same latent mean-shift adaptation on the donor split
predictions/C2/C2__CPA__C2_soskic_LODO_D378.npz,84d97f254ebab22a25e30544d46252bd86a9fd66389addea02a47d23ace57742,same latent mean-shift adaptation on the donor split
