task_key,task_id,cluster,task,split,unit_kind,unit,model,execution_model,status,pearson_delta,bundle_path,compound,tanimoto_distance
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,Biolord,Biolord,native,0.2059891091688485,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,0.7532467532467533
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=ABT-199 (GDC-0199),Biolord,Biolord,native,0.1298689467312074,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,ABT-199 (GDC-0199),0.6258992805755396
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=AT 7867,Biolord,Biolord,native,0.1728632047901137,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,AT 7867,0.7833333333333333
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=AZD3514,Biolord,Biolord,native,0.134850004733858,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,AZD3514,0.7473684210526316
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=BMS-536924,Biolord,Biolord,native,0.2392562128356684,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,BMS-536924,0.7422680412371134
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Cabozantinib,Biolord,Biolord,native,0.0446649694829669,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Cabozantinib,0.381578947368421
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Clomipramine,Biolord,Biolord,native,0.1046262082794511,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Clomipramine,0.7192982456140351
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=Clotrimazole,Biolord,Biolord,native,0.1145082662056147,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,Clotrimazole,0.8032786885245902
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=GSK-1070916,Biolord,Biolord,native,0.1412111057315367,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,GSK-1070916,0.7281553398058253
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=HYDROXYUREA,Biolord,Biolord,native,0.0144808075147651,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,HYDROXYUREA,0.875
T5u,T5,C5,small-mol/OP3,unseen-compound,compound,perturbation=IN1451,Biolord,Biolord,native,0.0813742141992968,predictions/C5_unseen_cpd__Biolord__C5_global_compound_holdout.npz,IN1451,0.5471698113207547
