task_key,unit,model,execution_status,program,n_strata,n_measured,measured_genes,program_corr,correlation_status,pearson_delta,obs_program_sd,pred_program_sd,identity_corr,identity_mae,target_level,observed_zero_fraction,bundle_path,observation_cache
T3,chen,AttentionPert,native,TCR_activation,30,9,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,-0.10651116907575355,estimable (descriptive),0.206300103117411,0.00441968411560779,0.002855697263140924,0.9999999999999998,0.0,rank score of observed mean expression,0.2209696261682243,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,AttentionPert,native,IL2_STAT5,30,9,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,-0.13533291930893404,estimable (descriptive),0.206300103117411,0.0023610929556309957,0.0024298102913861822,1.0,0.0,rank score of observed mean expression,0.31007593457943927,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,AttentionPert,native,proliferation,30,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant observed rank-program score,0.206300103117411,0.0,0.0,,0.0,rank score of observed mean expression,0.8527745327102804,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,AttentionPert,native,effector_cytokine,30,4,CCL5;GZMB;NKG7;TNF,,constant observed rank-program score,0.206300103117411,0.0,0.0,,0.0,rank score of observed mean expression,0.6102219626168224,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,AttentionPert,native,Treg_exhaustion,30,6,CTLA4;FOXP3;IL2RA;LAG3;PDCD1;TNFRSF18,-0.06224344302649821,estimable (descriptive),0.206300103117411,0.014128598088650454,0.01114660995909729,1.0,0.0,rank score of observed mean expression,0.17333528037383178,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,TCR_activation,2,3,IL2RA;NFKBIA;NR4A1,,constant observed rank-program score,0.3201761200268088,0.0,0.0,,0.0,rank score of observed mean expression,0.99606962380685,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,IL2_STAT5,2,6,BCL2;CISH;IL2RA;IL2RB;IL2RG;SOCS1,,constant observed rank-program score,0.3201761200268088,0.0,0.0,,0.0,rank score of observed mean expression,0.9696799550814149,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,proliferation,2,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant observed rank-program score,0.3201761200268088,0.0,0.0,,0.0,rank score of observed mean expression,0.5727119595732735,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,effector_cytokine,2,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant observed rank-program score,0.3201761200268088,0.0,0.0,,0.0,rank score of observed mean expression,0.6193149915777653,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,AttentionPert,native,Treg_exhaustion,2,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,,constant observed rank-program score,0.3201761200268088,0.0,0.0,,0.0,rank score of observed mean expression,0.9938236945536215,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRi,AttentionPert,native,TCR_activation,2,3,IL2RA;NFKBIA;NR4A1,,constant observed rank-program score,0.1287371277773687,0.0,0.0,,0.0,rank score of observed mean expression,0.9966254218222722,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,AttentionPert,native,IL2_STAT5,2,5,CISH;IL2RA;IL2RB;IL2RG;SOCS1,,constant observed rank-program score,0.1287371277773687,0.0,0.0,,0.0,rank score of observed mean expression,0.9820022497187851,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,AttentionPert,native,proliferation,2,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant observed rank-program score,0.1287371277773687,0.0,0.0,,0.0,rank score of observed mean expression,0.6051743532058492,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,AttentionPert,native,effector_cytokine,2,6,CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant observed rank-program score,0.1287371277773687,0.0,0.0,,0.0,rank score of observed mean expression,0.6507311586051744,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,mccutcheon_CRISPRi,AttentionPert,native,Treg_exhaustion,2,5,ENTPD1;FOXP3;IL2RA;LAG3;TIGIT,,constant observed rank-program score,0.1287371277773687,0.0,0.0,,0.0,rank score of observed mean expression,0.9983127109111362,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRi.npz
T3,schmidt,AttentionPert,native,TCR_activation,7,6,CD28;IL2RA;IRF4;NFKBIA;TNFRSF4;TNFRSF9,,constant observed rank-program score,0.3761022574160742,0.0,0.0,,0.0,rank score of observed mean expression,0.7271745002701242,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,AttentionPert,native,IL2_STAT5,7,8,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5B,,constant observed rank-program score,0.3761022574160742,0.0,0.0,,0.0,rank score of observed mean expression,0.6861156131820637,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,AttentionPert,native,proliferation,7,8,CCNB1;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS,,constant observed rank-program score,0.3761022574160742,0.0,0.0,,0.0,rank score of observed mean expression,0.833063209076175,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,AttentionPert,native,effector_cytokine,7,8,CCL4;CCL5;GNLY;GZMA;GZMB;IFNG;NKG7;TBX21,,constant observed rank-program score,0.3761022574160742,0.0,0.0,,0.0,rank score of observed mean expression,0.5678011885467315,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,schmidt,AttentionPert,native,Treg_exhaustion,7,3,HAVCR2;IL2RA;LAG3,,constant observed rank-program score,0.3761022574160742,0.0,0.0,,0.0,rank score of observed mean expression,0.7428417071853053,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__schmidt.npz,results/_paper/program_observations/T3__schmidt.npz
T3,shifrut,AttentionPert,native,TCR_activation,2,4,IL2RA;NFKBIA;REL;TNFRSF9,,constant observed rank-program score,0.1465515812250193,0.0,0.0,,0.0,rank score of observed mean expression,0.9330413016270338,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,AttentionPert,native,IL2_STAT5,2,4,IL2RA;IL2RG;MYC;SOCS1,,constant observed rank-program score,0.1465515812250193,0.0,0.0,,0.0,rank score of observed mean expression,0.7984981226533167,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,AttentionPert,native,proliferation,2,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant observed rank-program score,0.1465515812250193,0.0,0.0,,0.0,rank score of observed mean expression,0.727784730913642,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,AttentionPert,native,effector_cytokine,2,7,CCL4;CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,,constant observed rank-program score,0.1465515812250193,0.0,0.0,,0.0,rank score of observed mean expression,0.3141426783479349,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,shifrut,AttentionPert,native,Treg_exhaustion,2,5,ENTPD1;HAVCR2;IL2RA;LAG3;PDCD1,,constant observed rank-program score,0.1465515812250193,0.0,0.0,,0.0,rank score of observed mean expression,0.9374217772215269,predictions/C3/C3_LO_gene__AttentionPert__C3_true_lo_gene_10__shifrut.npz,results/_paper/program_observations/T3__shifrut.npz
T3,chen,Biolord,native,TCR_activation,30,9,CD69;EGR2;IL2RA;IRF4;NFKBIA;NR4A3;REL;TNFRSF4;TNFRSF9,0.13659040664458666,estimable (descriptive),0.3744598949447439,0.00441968411560779,0.0011361379000131822,0.9999999999999998,0.0,rank score of observed mean expression,0.2209696261682243,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,Biolord,native,IL2_STAT5,30,9,BCL2;CISH;IL2;IL2RA;IL2RB;IL2RG;SOCS1;STAT5A;STAT5B,0.058693116204234494,estimable (descriptive),0.3744598949447439,0.0023610929556309957,0.00027715980642769943,1.0,0.0,rank score of observed mean expression,0.31007593457943927,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,Biolord,native,proliferation,30,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant observed rank-program score,0.3744598949447439,0.0,0.0,,0.0,rank score of observed mean expression,0.8527745327102804,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,Biolord,native,effector_cytokine,30,4,CCL5;GZMB;NKG7;TNF,,constant observed rank-program score,0.3744598949447439,0.0,0.0,,0.0,rank score of observed mean expression,0.6102219626168224,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,chen,Biolord,native,Treg_exhaustion,30,6,CTLA4;FOXP3;IL2RA;LAG3;PDCD1;TNFRSF18,-0.08009639362009745,estimable (descriptive),0.3744598949447439,0.014128598088650454,0.0023837153281027704,1.0,0.0,rank score of observed mean expression,0.17333528037383178,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__chen.npz,results/_paper/program_observations/T3__chen.npz
T3,mccutcheon_CRISPRa,Biolord,native,TCR_activation,2,3,IL2RA;NFKBIA;NR4A1,,constant observed rank-program score,0.4590175763047919,0.0,0.0,,0.0,rank score of observed mean expression,0.99606962380685,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,Biolord,native,IL2_STAT5,2,6,BCL2;CISH;IL2RA;IL2RB;IL2RG;SOCS1,,constant observed rank-program score,0.4590175763047919,0.0,0.0,,0.0,rank score of observed mean expression,0.9696799550814149,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
T3,mccutcheon_CRISPRa,Biolord,native,proliferation,2,11,BIRC5;CCNB1;CCNB2;CDK1;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,,constant observed rank-program score,0.4590175763047919,0.0,0.0,,0.0,rank score of observed mean expression,0.5727119595732735,predictions/C3_LO_gene__Biolord__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,results/_paper/program_observations/T3__mccutcheon_CRISPRa.npz
