job,model,task,state,shard,units,expected,ran,leak_free,declined,result_csv,runner,complete,note,command
attnpert_T4,AttentionPert,T4,DONE:0,,2,2,2,2,0,results/native_rerun/v7_attnpert_T4.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model AttentionPert --task T4 --gpu 2 --out results/native_rerun/v7_attnpert_T4.csv
cinemaot_T1,CINEMA-OT,T1,DONE:0,,8,8,8,8,0,results/native_rerun/v6_cinemaot_T1.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model CINEMA-OT --task T1 --out results/native_rerun/v6_cinemaot_T1.csv
cinemaot_T2,CINEMA-OT,T2,DONE:0,,106,106,106,106,0,results/native_rerun/v6_cinemaot_T2.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model CINEMA-OT --task T2 --out results/native_rerun/v6_cinemaot_T2.csv
cpa_T1,CPA,T1,DONE:0,,8,8,8,8,0,results/native_rerun/v7_cpa_T1.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model CPA --task T1 --gpu 1 --out results/native_rerun/v7_cpa_T1.csv
cpa_T2,CPA,T2,DONE:0,,106,106,106,106,0,results/native_rerun/v7_cpa_T2.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model CPA --task T2 --gpu 2 --out results/native_rerun/v7_cpa_T2.csv
cpa_T5c,CPA,T5c,DONE:0,,4,4,4,4,0,results/native_rerun/v7_cpa_T5c.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model CPA --task T5c --gpu 3 --out results/native_rerun/v7_cpa_T5c.csv
cellflow_T3,CellFlow,T3,DONE:0,,5,5,5,5,0,results/native_rerun/v6_cellflow_T3.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model CellFlow --task T3 --gpu 2 --out results/native_rerun/v6_cellflow_T3.csv
cellflow_T4,CellFlow,T4,DONE:0,,2,2,2,2,0,results/native_rerun/v6_cellflow_T4.csv,,yes,,.venv/bin/python scripts/run_obligation.py --model CellFlow --task T4 --gpu 0 --out results/native_rerun/v6_cellflow_T4.csv
cellot_T5c_b0,CellOT,T5c,DONE:0,0/4,1,1,1,1,0,results/native_rerun/v7_cellot_T5c_b0.csv,,yes,,env IVCBENCH_CELLOT_ITERS_PER_CPD=2000 .venv/bin/python scripts/run_obligation.py --model CellOT --task T5c --chunk 0 4 --gpu 0 --out results/native_rerun/v7_cellot_T5c_b0.csv
cellot_T5c_b2,CellOT,T5c,DONE:0,2/4,1,1,1,1,0,results/native_rerun/v7_cellot_T5c_b2.csv,,yes,,env IVCBENCH_CELLOT_ITERS_PER_CPD=2000 .venv/bin/python scripts/run_obligation.py --model CellOT --task T5c --chunk 2 4 --gpu 3 --out results/native_rerun/v7_cellot_T5c_b2.csv
cellot_T5c_b3,CellOT,T5c,DONE:0,3/4,1,1,1,1,0,results/native_rerun/v7_cellot_T5c_b3.csv,,yes,,env IVCBENCH_CELLOT_ITERS_PER_CPD=2000 .venv/bin/python scripts/run_obligation.py --model CellOT --task T5c --chunk 3 4 --gpu 1 --out results/native_rerun/v7_cellot_T5c_b3.csv
cellot_T5c_u1,CellOT,T5c,DONE:0,1/4,1,1,1,1,0,results/native_rerun/v7_cellot_T5c_u1.csv,,yes,,env IVCBENCH_CELLOT_ITERS_PER_CPD=2000 .venv/bin/python scripts/run_obligation.py --model CellOT --task T5c --chunk 1 4 --gpu 0 --out results/native_rerun/v7_cellot_T5c_u1.csv
